,Unnamed: 0,refs,trans,model_corrected
0,105993,glad to have been of service thank you for using the cambridge towninfo centre have a great day,glad to have on been of service thatll thank you for using the cambridge who towninfo centre have a great day,glad to have been of service thank you for using the cambridge towninfo centre have a great day
1,105994,i am looking for a moderately priced restaurant in the north part of town what do you have available,i am looking for a moderately priced restaurant in the north part of town what do you have available,i am looking for a moderately priced restaurant in the north part of town what do you have available
2,105995,i show two restaurants that fit your criteria one is chinese and one is indian which one would you like to find out more about,i show two restaurants that fit your criteria one is don chinese and one some is indian which one would you like to find out more about,i show two restaurants that fit your criteria one is chinese and one it is indian which one would you like to find out more about
3,105996,please tell me the address and phone number of the indian restaurant,please tell me the address and phone number of the indian restaurant,please tell me the address and phone number of the indian restaurant
4,105998,thats all i need thank you goodbye,thats all wasn y need thank you youll goodbye,thats all i need thank you goodbye
5,105999,thank you for choosing our system good bye,thank you for choosing system good bye,thank you for choosing our system good bye
6,106001,i have found the allenbell guesthouse it meets all of your criteria is in the cheap price range and provides internet and parking would you like me to book it,i have found the allenbell guesthouse it meets all of your criteria is in the cheap price range and provides internet and parking would you like me to book it,i have found the allenbell guesthouse it meets all of your criteria is in the cheap price range and provides internet and parking would you like me to book it
7,106004,thank you that is it for today goodbye,thank you that is it for today goodbye,thank you that is it for today goodbye
8,106005,okay great have a safe trip goodbye,okay great have a safe trip goodbye,okay great have a safe trip goodbye
9,106006,i need help i was robbed,i need help i was thatll robbed,i need help i was robbed
10,106008,can i get the address i would like to go directly to the station,ahn i get the address i would like to go directly to the station,can i get the address i would like to go directly to the station
11,106010,nope you have been great,nope was you have been great,nope you have been great
12,106011,im so glad to have helped you have a pleasant time at the police station now,im so brad to against have helped you have a pleasant time at the police station now further,im so glad to have helped you have a pleasant time at the police station now
13,106012,can you help direct me a restaurant called golden house,can you up help direct me a restaurant called golden house yourself,can you help direct me to a restaurant called golden house
14,106014,can you provide me reviews about this listing is this a great hotel and what are the accommodations does this place have good customer service,can you provide me reviews about this listing is this a great hotel and what are the accreditations does this place halve good customer service,can you provide me reviews about this listing is this a great hotel and what are the accreditations does this place have good customer service
15,106015,im sorry i dont understand golden house is a restaurant not a hotel can you please clarify what youre looking for,dim sorry i dont meadowland house is a restaurant not a hotel can ado please acidify what youre looking then for,im sorry i dont meadowland house is a restaurant not a hotel can you please clarify what youre looking for
16,106016,yes sorry i meant does the restaurant have any reviews also i need help looking for a train leaving on saturday and arriving in kings lynn,yes sorry i meant does the restaurant have any reviews also i need help looking for a train leaving on saturday and arriving in kings lynn,yes sorry i meant does the restaurant have any reviews also i need help looking for a train leaving on saturday and arriving in kings lynn
17,106019,okay i would be happy to book you a seat on the train if you tell me when you want to leave and arrive and how many people will be traveling,okay i would be happy to book you a seat on the can train if you tell me when you want to leave and arrive should and how many people will be traveling,okay i would be happy to book you a seat on the train if you tell me when you want to leave and arrive and how many people will be traveling
18,106023,happy to help,happy to help,happy to help
19,106024,im looking for a guesthouse to stay at can you help me with that,im looking for a guesthouse couldn to stay at can you help me with that,im looking for a guesthouse to stay at can you help me with that
20,106025,sure what area do you have in mind,sure what area do you have in mind,sure what area do you have in mind
21,106028,price range doesnt matter can you find one with free wifi,price range doesnt matter can you being find one against with free wifi,price range doesnt matter can you find one with free wifi
22,106030,nope any of them will be fine ill just need to know the address price range and postcode please,nope any of them will be fine ill just need to know the your address price range and postcode please,nope any of them will be fine ill just need to know the address price range and postcode please
23,106032,thanks im also looking for a train to stevenage for tuesday,thanks im also looking for a train to stevenage for tuesday,thanks im also looking for a train to stevenage for tuesday
24,106033,will you be departing from cambridge,will you be departing from cambridge,will you be departing from cambridge
25,106034,i will be leaving from cambridge,i will be leaving from cambridge,i will be leaving from cambridge
